published_utc,published_et,news_date,source,title_clean,summary_clean,text,word_count,url,query_category
2026-01-01 08:00:00+00:00,2026-01-01 03:00:00-05:00,2026-01-01,lemonde.fr,Iran's protests led by shopkeepers is shaking up the regime,Iran's protests led by shopkeepers is shaking up the regime lemonde.fr,Iran's protests led by shopkeepers is shaking up the regime. Iran's protests led by shopkeepers is shaking up the regime lemonde.fr,21,https://news.google.com/rss/articles/CBMizwFBVV95cUxPQ1VhUXZ6bzRLb2lnNloxaFV2ZkpJYTZNUF94Y3dnWTNpR1BIZ0Fma0JMMllsckVBeXdTTzQ5cWVLRlM5cDAwb1J6THhuSmlQRk1Ld1dzbHA3aVBSVktOMEFHdGhDSHVEb0FGeUFaZV9vX2N6ZDhUS21jWWJZRE5aSnNORjYyOWUyQUlobFhiSU1zYVd5aW52a3JsOHdnc2xpSnoyYnpxWWtJUlFZUkNJUFlsSmI4UmVxU3A2RWctMFhUZFJfd0QzQ1JvaDdGQlE?oc=5,nuclear
2026-01-01 08:00:00+00:00,2026-01-01 03:00:00-05:00,2026-01-01,The Jerusalem Post,Israel fears Iran may launch strike as protests continue,Israel fears Iran may launch strike as protests continue The Jerusalem Post,Israel fears Iran may launch strike as protests continue. Israel fears Iran may launch strike as protests continue The Jerusalem Post,21,https://news.google.com/rss/articles/CBMiakFVX3lxTE5TTDVwSURLX3VZMTJyVVVIM20xakNreEpfVFRfbWhkOGpGYXl6eGJqQTJ6NXlQY0ZEbHZ6WHpEY1dXWDR0TXFEbUpja1ktd1BWd2Z0eVlXV0RKWEJkeHBMVFNValN1QW9XWmc?oc=5,military
2026-01-01 08:00:00+00:00,2026-01-01 03:00:00-05:00,2026-01-01,Iran International,Canada says Iran’s designation of navy as ‘terrorist’ is baseless,Canada says Iran’s designation of navy as ‘terrorist’ is baseless Iran International,Canada says Iran’s designation of navy as ‘terrorist’ is baseless. Canada says Iran’s designation of navy as ‘terrorist’ is baseless Iran International,22,https://news.google.com/rss/articles/CBMiUkFVX3lxTE1wYmxtdFpYR2FySUt0a3pUVENhM19VNENUVE9pbVByMXQ0WTlYS0Y3UjB2RVNrR1VsenBjbjFFeWVJUHhjSVdWN0NsRkl4WU02U1E?oc=5,nuclear
2026-01-01 08:00:00+00:00,2026-01-01 03:00:00-05:00,2026-01-01,DW.com,"Iran starts 2026 facing protests, inflation and sanctions","Iran starts 2026 facing protests, inflation and sanctions DW.com","Iran starts 2026 facing protests, inflation and sanctions. Iran starts 2026 facing protests, inflation and sanctions DW.com",17,https://news.google.com/rss/articles/CBMikwFBVV95cUxQZ0lfVnV1ZEpFVHRjLXhpd01QM1ZMTW5Ed1B5NmdPUGlzemVvVTNwREtpRjYtZm9rWlF0YW5Wd3FSel9EMFg4MkhXVkk1bE8xNmIxanhiOU5lYXFKRWRWRnI2YWdyR1AwdlFYTloyNElIb3Vsc3gtaXc4Tk52OW41d2pfQXRHQ09xNmIwWmY4VkpRbEHSAZMBQVVfeXFMT1RvRk53RkJxRHRSZV9udEp1Ul9aMVBEQnI3X1pRWTRYNHZzalczdEFWbkJJZ2Znd1JEbkFoeWotRVN2M3pSSElhVmQtb2dYSTc5YWsxak1aWHJWWC1qdFRiZEthaUV4OWEzRjNocWo2QkVOdEtEaThHTGItcEhFNHFZR05wTGtRZUtERHBabFlGVXFr?oc=5,nuclear
2026-01-01 08:00:00+00:00,2026-01-01 03:00:00-05:00,2026-01-01,Newsweek,Ex-Iranian Air Force pilot tells military to defend protesters against government,Ex-Iranian Air Force pilot tells military to defend protesters against government Newsweek,Ex-Iranian Air Force pilot tells military to defend protesters against government. Ex-Iranian Air Force pilot tells military to defend protesters against government Newsweek,23,https://news.google.com/rss/articles/CBMilgFBVV95cUxPS2dhRUtpRzBBZkNlbW1xZjF2X0tEdVZoamJrdnhkTUpTMV9uclF2OGZNR2xUMF8tcVVFa2dKQXNQRmtDUVY4M2tzOUkyYUFFTGdsRC1WaTJ4NWNWVjRsMGU1TlV0WFdiQzc4d3dIV2FpWDlDWWJ2dFlSUnR0YVZUS3RTNm9STlZGZzVSTlVORkpmVFh1dXc?oc=5,military
2026-01-01 08:00:00+00:00,2026-01-01 03:00:00-05:00,2026-01-01,Forbes,"Iran Protests: 10 Universities Join Bazaar Strike as Dollar Breaks 144,000 Tomans","Iran Protests: 10 Universities Join Bazaar Strike as Dollar Breaks 144,000 Tomans Forbes","Iran Protests: 10 Universities Join Bazaar Strike as Dollar Breaks 144,000 Tomans. Iran Protests: 10 Universities Join Bazaar Strike as Dollar Breaks 144,000 Tomans Forbes",25,https://news.google.com/rss/articles/CBMi5wFBVV95cUxOYUFWalFIX3QyTnRSZldlM1FvUUt1d0xhV1U3clRxODlIb2RqaUtVcGpIUTJvUTlaUVZlZ1ZUZ2haQlpBUEpsMXhabVU4ejRDLUdDRWhuOEctNkFlUVdsd0Z2SDVrWDRKS1JCOURibTlmdFU2N3FsNE5yZW13bkNSWFVNbF9EV1Z5VjFSUFdHTGxSakM5a0NiWGRuWUxHY01yRXprR25FOGo1aGVnbzJIWGpaV3Q5eXpLV2Vhbm1oNHZ0V1pKMlB2R0Q1eUtiTnpiZkoxTGdvR0ViZExfVVdEUWp6TGhoeHc?oc=5,military
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,Al Jazeera,Corruption & sanctions “work together” to cripple Iran’s economy,Corruption & sanctions “work together” to cripple Iran’s economy Al Jazeera,Corruption & sanctions “work together” to cripple Iran’s economy. Corruption & sanctions “work together” to cripple Iran’s economy Al Jazeera,20,https://news.google.com/rss/articles/CBMirgFBVV95cUxQYTRXcEpDSUtyRWs2LTROcjhtUU5xYnRYOVl2MlI0VEhZY3UwTFZMS0VVN21rWnQ2Rks3dWRQNDg3SmRYYlV6YWNjTVF0cVRMeXpmekpLSzRqcjZVSmpJekJrLXdQNHRuWEJyZVFoQk5KakdzMUpkcGU1R25hMWtmSGMtMnpVbXluYUpwUXdMQVlfb2FUdDY1RUlPMmhUcUkzbU5sN29NWGl0Z29qamfSAbMBQVVfeXFMTnlwU24xZ2QyV04yMVEtbjVfcHpqY0tUM0M5TFMtVFFrVmw3aU1xOURCTU1sMnU5czA5RmhoSl9VRDFKSW96LXNJUHJDaEJsVWVSVUpxYk9HX2RweWZTVHZJdGtiNVpZeVNFdmg2U0gtaXFpbVZFaXJXd3Q0RWJXQVMtOVZLVDFkUDdzcFFoN1p5SzRSZGNIR09vd2NjamJjazhGblpUSkFMNzZUV2NvSHh5d1k?oc=5,nuclear
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,Al Jazeera,Five things you need to know about protests in Iran,Five things you need to know about protests in Iran Al Jazeera,Five things you need to know about protests in Iran. Five things you need to know about protests in Iran Al Jazeera,22,https://news.google.com/rss/articles/CBMimAFBVV95cUxNbmVKTHlrRE5kbE55UXBob1J3QkFSeEZFUkJFOVd1Ym9uNHFtTzJtOVB5SHoyOEc5VG5BZDl2NDdOWmhlaVV4S1Jxal9TWWlaQkt6bmF6aWhwaVpTR3p3NUpPektWeHV0OXRTVmZBLTBid3FxcHU4S1llQnptd2IzRGhBa2xTbnJXbWNyd2dBczN2VEROQk4tbNIBngFBVV95cUxPTFhpRW9QQkV1cTdvbU1TWklFcmZ6NkxvbVNoV1hmRkVCQjlJSEF0ZHFta29FbWNRemxZV0xXMm5QTFV5YXBFYmVhcElGcDRJOFZJdWhVYTFtQmpfWkEzUXNVWm5FeU01dFlGX3QtazFnNHVXWVRVenhyeUczb3JHSEFaTE9KWHhIcnVlVE5veWUxdTJSaGt2aXRMemZ3UQ?oc=5,nuclear
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,WBFF,"After Trump's warnings to Iran, how likely is a US attack?","After Trump's warnings to Iran, how likely is a US attack? WBFF","After Trump's warnings to Iran, how likely is a US attack?. After Trump's warnings to Iran, how likely is a US attack? WBFF",23,https://news.google.com/rss/articles/CBMinwFBVV95cUxPelk0a3BFWlUxdktVYUNhakFsanI5d3cybWFzNUk1VUZUMjQxT08tX04xdDVSU216a1p5UDVtemkycGdicXhuMVBhX3dtWkl5YVpYYWRfeFB3TjJpRGhFTkhBMVpkVEZtcGp4aGRTT0hGeXZsSHR5OVVmcnRtdEsycFVDWC0tN0N6WTdLaWo3RHd2OHJ3M25LNElJeThXcU0?oc=5,nuclear
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,politico.eu,Trump warns Tehran that US is ‘locked and loaded’ to support Iranian protesters,Trump warns Tehran that US is ‘locked and loaded’ to support Iranian protesters politico.eu,Trump warns Tehran that US is ‘locked and loaded’ to support Iranian protesters. Trump warns Tehran that US is ‘locked and loaded’ to support Iranian protesters politico.eu,27,https://news.google.com/rss/articles/CBMikAFBVV95cUxQU3hUMmZSU0FXNkpjOXFSYjlNZjBZODhGMlZkZEFONlYzOG9VcnpNSHlVTi1oclltT0YtUEtkUTNqeXVYWWRUSkxxeXBuQ2JwSHVsVzNCZERJd1pSQS1DQTYwMERRM0tHLU1Oc0RJZTkyekZtTHNaWkZsZjZ6a29KV1pHT1FEQUNPUEF6ZVFINGc?oc=5,military
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,CBS News,"Trump says if Iran ""kills peaceful protesters,"" the U.S. will ""come to their rescue""","Trump says if Iran ""kills peaceful protesters,"" the U.S. will ""come to their rescue"" CBS News","Trump says if Iran ""kills peaceful protesters,"" the U.S. will ""come to their rescue"". Trump says if Iran ""kills peaceful protesters,"" the U.S. will ""come to their rescue"" CBS News",30,https://news.google.com/rss/articles/CBMihAFBVV95cUxPT0NPeGVURTdidllxRy1WekFFRW82eUplNThBSTdycEE0TlhIYzlCSHowcWw4c2k3ZzVhQTdZV0U5cFB5Z3lKaU9wcEJLM3huUnZEZ2YybUtZWmpGN3M0NWlXTnBCanhfUV85d0g5cjFNXzM4RTFtVXUxSUpodVhZaEtxSWPSAYoBQVVfeXFMUGpxTFJ3cjVxMmgtcktzN1l0SmdVTUdxd3VKSW83M0hIRnQ2MlFtam9xcnZ5amo1ZTdmLVlSYU1uZEdCR0JGYTF1UnMxRDQ1QnJJQ3A5Y0ZXSjhBWXJjbjcxVUY1anRGRlVCMzB5WEZDcS1NSGxQOGdsQThtVzVpNi1aeXN5NEsxcEN3?oc=5,military
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,DW.com,Iran protests: Trump and Tehran officials exchange threats,Iran protests: Trump and Tehran officials exchange threats DW.com,Iran protests: Trump and Tehran officials exchange threats. Iran protests: Trump and Tehran officials exchange threats DW.com,17,https://news.google.com/rss/articles/CBMilAFBVV95cUxOdGROVE8wZHktbWhCb2Y1MUtXZEExU2c5djg1WEpQSzZLS2RTNlJxUnBFSnlTaEdjRnFTb1cyWjA3SWxPaVdzYk85U3VZalZneWNXZkhnSjdnRFREQ1MyRm9kMFJuRHRveHNGLUF0WmxNNUNKTEtGRjI3NHRLNnVuazRaTFp2Zm1pdjdFeGJoVDlBOEh00gGUAUFVX3lxTE9ndy0wOEhKYkZEeTdsWm53M2FMVUxwYWZFWXk5ZjFpRkl2SHZWQ215SlJ1c1FPSzlXT1E3N0xJS1dZWDZFMl91U3hQMWFqZVE5U3pzU3lCZkdwSXFtZVVzMTMta0N6Sk9rc2RlYU8wQWlDVDcwelN2MnRUdTYwRTBlSUNPYkMzdEJOaXd2eHJUbnFhbXY?oc=5,military
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,www.israelhayom.com,IDF chief of staff holds talks in Washington as US weighs Iran military action,IDF chief of staff holds talks in Washington as US weighs Iran military action www.israelhayom.com,IDF chief of staff holds talks in Washington as US weighs Iran military action. IDF chief of staff holds talks in Washington as US weighs Iran military action www.israelhayom.com,29,https://news.google.com/rss/articles/CBMijAFBVV95cUxPdlF1aTF3WDJXdUhyaUU2N0RwaGFONXdXeEN6M1Fvd0FuYW5yTmhCdmdoOEtpSkVnU1NJQlRXZTRhNnFyMDVzZXUycTBhS29XdXNobERIX3RMQ3RFUzQwQTM4a09tVGtJS1VXYV9GaGhtd25EYkh2ZThfak9idmNKaFQyVDV4VVl0anhteA?oc=5,diplomatic
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,PBS,Trump threatens to intervene in Iran if regime continues to kill protesters,Trump threatens to intervene in Iran if regime continues to kill protesters PBS,Trump threatens to intervene in Iran if regime continues to kill protesters. Trump threatens to intervene in Iran if regime continues to kill protesters PBS,25,https://news.google.com/rss/articles/CBMirgFBVV95cUxOVWI2T3d3ekZJQW93Sl9IYXh6SzNzY1g1ajVzdHRqM0o1RHo1QVhwekpESjdCbmVSNm1JcVFfODJ4ZVlGbGlCalNRLU93NkdiU3JuQUtVdXhBTmRmUW1Mb1UtSlNLbEZyd2tvbGk3MHRJS3hfZmFySUxWQjJGT2p0bV80UXZfdXphNFFHeDhMM3VsTkNDVzdLNmhsNXpUQV80M0kyZ3ZITlZqdFJSMGc?oc=5,military
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,CNBC,Trump says U.S. will intervene if Iran 'violently kills' protestors,Trump says U.S. will intervene if Iran 'violently kills' protestors CNBC,Trump says U.S. will intervene if Iran 'violently kills' protestors. Trump says U.S. will intervene if Iran 'violently kills' protestors CNBC,21,https://news.google.com/rss/articles/CBMiogFBVV95cUxPMEpVNWJmdFZjcFlOeVRDV29jRnpiUGFjaENhVzJIc1lIZkMxQS1BWmh3MG1DWldlMnkxcnduVDhzLWlEcUtPZVIxVmVJVEphTkxjUkV3REJHUFRSR2U5WExVSjNkUndCMWFVVjBISnFBSTZwRVFsXzIzWkdCU3kzWlZibW9SN19xLWdtS1NDdTRIQWJyUy1zVjVjSmFCWURQSXfSAacBQVVfeXFMUDM0aDJoNFdnZzlpUkR1UFhGb2UwVElXV0ZWVmVRR3ROUXA3QzEzT2JZR0hhRjJpeFhpb1RHbUxyczRRMFNqSUhxTzRyU2dla2NTNkIzT2NYcGtSM19SYWFKdTZFUy0wUzRhZUlTM1dmVmJxbTdjNjBBV01XM0pNenE1eWlNdVNPS1F1WnZjUzRnbGg2UExrSktCSUF2ZzdfVnhSTk1NVDQ?oc=5,nuclear
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,Oregon Public Broadcasting - OPB,Trump and Iran start 2026 exchanging new threats on social media,Trump and Iran start 2026 exchanging new threats on social media Oregon Public Broadcasting - OPB,Trump and Iran start 2026 exchanging new threats on social media. Trump and Iran start 2026 exchanging new threats on social media Oregon Public Broadcasting - OPB,27,https://news.google.com/rss/articles/CBMikgFBVV95cUxOYndVcHZSOHJfMS1vRnVha2ljMWFobWRsVHNkMXNVWFlzQjRscU1YWXVlcUtlbjVWNDZvZ1lTR09wS29mMnJUcFRRMjU3SFZOWEZEdF9BMWJtbUxNa19RY2pDYldpQkM2UGNaQ0VVTTFvSjFPY3FOZ3k1Vkd4QzFqaTVXYjVZWWUxNGhvbEVvWkctdw?oc=5,military
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,Axios,Trump threatens military force if Iran kills protesters,Trump threatens military force if Iran kills protesters Axios,Trump threatens military force if Iran kills protesters. Trump threatens military force if Iran kills protesters Axios,17,https://news.google.com/rss/articles/CBMibkFVX3lxTE9XQkppSFVVWk5weW8zNWhWekoycXlnQk9CcXd3Q1lHZ1VFU2pyZ1JZY190ODkxM1RxaDNRVjVtazh2aXRtcm5GVXV1MVU1ckxLWnJaMFR3c1ZRSm82TkN6b29Vb3lscGRjb1V4eHRR?oc=5,military
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,AP News,Trump and top Iranian officials exchange threats over protests roiling Iran,Trump and top Iranian officials exchange threats over protests roiling Iran AP News,Trump and top Iranian officials exchange threats over protests roiling Iran. Trump and top Iranian officials exchange threats over protests roiling Iran AP News,24,https://news.google.com/rss/articles/CBMihgFBVV95cUxNc0h5RnpMaWpXT1lOZW91b2dMOFJJTWY2Mi1jdTEwa2NHRFp3cnZsUW1oN0FVQlJUSHpaY2o5Z3pIUnRrT1ctTEhPd3BPMElZY2FrZFJvTEhaQWtyd0FuTC1SeEc4ZVkzSldRVURGUFZpS1NrQllFSHpSZjIwMkJwVjBvRVVEZw?oc=5,military
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,Institute for the Study of War,"Iran Update, January 2, 2026","Iran Update, January 2, 2026 Institute for the Study of War","Iran Update, January 2, 2026. Iran Update, January 2, 2026 Institute for the Study of War",16,https://news.google.com/rss/articles/CBMigwFBVV95cUxORjhpc3c0RWNCTXVhQl92WDlUVS0xZmdNUUlCbFl3cUEwaUs4NDlYbVBnOGFPUWQwZnR3bW5KVUZOdTB4OENPR0QzNFVlUTZ2UGJVM05aREltd2hDQVl4LXZ0Tm1OTG94R2ljek9FMmFxRGVKYVUtdGxxdW4xcFhwQ2E3TQ?oc=5,military
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,Reuters,Trump threatens Iran over protest crackdown as deadly unrest flares,Trump threatens Iran over protest crackdown as deadly unrest flares Reuters,Trump threatens Iran over protest crackdown as deadly unrest flares. Trump threatens Iran over protest crackdown as deadly unrest flares Reuters,21,https://news.google.com/rss/articles/CBMirAFBVV95cUxNMnNlaGhsdEpIU0QzdkczYVRjeVZKNEpRR2VaZ3NYaHJOQWN4a0VtOXk5aVU4dTJvNk82Mks2cnlpV1FnM05TUWlHay1QZnVjVHZfX2hIZU5kUDhGZXR0VVZUNmRzZ0RVc3RJQWN2VzY1X2dqMktJb0h0X21oRWtvNzgzNnRlTFREbXZuRkdId01zTmJNNHE3aENJM0p1VE5DX2xoay1UUXFhZzVu?oc=5,nuclear
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,Iran International,What 'locked and loaded' signals in Trump’s message backing Iran protests,What 'locked and loaded' signals in Trump’s message backing Iran protests Iran International,What 'locked and loaded' signals in Trump’s message backing Iran protests. What 'locked and loaded' signals in Trump’s message backing Iran protests Iran International,24,https://news.google.com/rss/articles/CBMiUkFVX3lxTFBCVjZHcUp1OVN0YnhZZE8yaWRLUW5rNDB3LTV4QkFYUWJndGt2cGZFdzBnTU53LV9MWnY1TE9tUURsYWl6dUQwc1lsaDhLWUJ3ZHc?oc=5,military
2026-01-02 08:00:00+00:00,2026-01-02 03:00:00-05:00,2026-01-02,Houston Public Media,Trump vows to 'rescue' Iran's protesters. Iran warns the U.S. to stay out of it,Trump vows to 'rescue' Iran's protesters. Iran warns the U.S. to stay out of it Houston Public Media,Trump vows to 'rescue' Iran's protesters. Iran warns the U.S. to stay out of it. Trump vows to 'rescue' Iran's protesters. Iran warns the U.S. to stay out of it Houston Public Media,33,https://news.google.com/rss/articles/CBMi0wFBVV95cUxPRFFoanc2eGVqbFhWeFBySEx2b1ZtVnlMYXZ3WmRiN0k3U1g4a21BTk5vdFZ6Z2xEY0RPS2NkQ1BBT2gxaVMyT0E0SlZwQnhuRGRneUgzNXNyYXpRVmQ0Q1BaY3U5M2xVYkppUE5yQkNRR0otaWJVdmc5eGhhYmg0b1JSTVZVYUM4dzVpcFhfbE9RTGtJc3NBRXpZZXNCLXZjT2FWRXA2N240UzlRVkpiRkZ3U2pwQWZzM2ZlMnY5TFlIYmZ4WXF5UmpzZWlxeXgzUlhV?oc=5,nuclear
