variable,label,observations,direction_coefficient,direction_standard_error,direction_t_statistic,direction_p_value,direction_r_squared,intensity_coefficient,intensity_standard_error,intensity_t_statistic,intensity_p_value,intensity_r_squared,direction_significant,intensity_significant
d_five_year_yield,5-Year Treasury Yield,138,0.004622003191111057,0.0037097135133070096,1.2459191726076957,0.2127940705389152,0.009195162700933568,-0.001345983948132114,0.002417824959295358,-0.55669205620426,0.5777378453284392,0.0022253948554027403,False,False
d_ten_year_yield,10-Year Treasury Yield,138,0.00691747304645084,0.0032623997211319532,2.1203634250099457,0.033975408663936876,0.026007760519017542,0.0001424775129364039,0.0021648139998132186,0.06581512912827474,0.9475250110499249,3.194367186498681e-05,True,False
r_sp500,S&P 500,138,-0.11311089419639193,0.07899301389793043,-1.4319100970441057,0.15216955219750614,0.017463680013555583,0.03975835545998383,0.03835140596173619,1.0366857345373826,0.29988234246531553,0.00517352658139647,False,False
r_global_equity,Global Equity,138,-0.10858554264206138,0.08870962504366393,-1.2240559306683383,0.22093112908742707,0.01208726361475354,0.04574173558044013,0.04754492744386953,0.9620739380545231,0.3360124645234853,0.005041371494433622,False,False
r_investment_grade_bonds,Investment-Grade Bonds,138,-0.03883089222331969,0.03264272792292934,-1.1895725233197674,0.23421445064385116,0.010356544867583417,0.020523597161277104,0.019185649947142804,1.06973687197569,0.2847377645374154,0.007789820362154254,False,False
r_high_yield_bonds,High-Yield Bonds,138,-0.004190069854187766,0.02532294276793725,-0.16546536050671964,0.8685777122973564,0.00022762654545482874,0.020743735390088457,0.012973288428230428,1.5989573888567223,0.10983007098125495,0.013198540165728967,False,False
r_inflation_linked_bonds,Inflation-Linked Bonds,138,-0.019056670448851717,0.02179817304212442,-0.8742324603087233,0.38199167195256556,0.006793315627718566,-0.02003419776192124,0.012140255927869596,-1.650228617992314,0.09889618568236475,0.017953524196936077,False,False
r_brent_oil,Brent Oil,138,0.8428450858276433,0.33847920602354076,2.4900941352628454,0.012770926491744983,0.037964487530878444,0.4709398960816645,0.20263485632949765,2.324081377765951,0.02012113292412539,0.027203059470852553,True,True
r_gold,Gold,138,0.006547830820239135,0.1588077301513062,0.04123118448957491,0.9671115931759562,1.532394730963116e-05,0.18404852866439642,0.1022828809341136,1.79940696804339,0.07195432815017605,0.028588314275209914,False,False
r_dollar_index,U.S. Dollar Index,138,-0.028335922810503594,0.030700371623720527,-0.9229830556386474,0.3560160355126898,0.00714603798649005,0.017423119591989104,0.02011607930178106,0.866128997137453,0.3864194250551263,0.00703739926703284,False,False
r_vix,VIX,142,0.6383942765370398,0.6986166090299687,0.913797737250267,0.3608231356432685,0.007068550265300844,0.35725473728123774,0.3835713282876332,0.9313906200344018,0.35165154115747943,0.005015209446157409,False,False
r_ig_credit_proxy,IG Credit Excess-Return Proxy,138,-0.019774221774467964,0.020922171525317845,-0.9451323802856337,0.34459129600908633,0.005946036126934784,0.006529035738888988,0.014353959079305015,0.45485957587146114,0.6492102666052526,0.0015001846249391715,False,False
r_hy_credit_proxy,HY Credit Excess-Return Proxy,138,0.014866600594663945,0.022490708694949266,0.6610107665483451,0.5086054089608326,0.004107115475146972,0.0061796571338821014,0.01367065903744121,0.45203798273055107,0.6512416197710633,0.0013826339591476167,False,False
