variable,label,term,coefficient,standard_error,p_value,confidence_low,confidence_high,r_squared,observations
d_five_year_yield,5-Year Treasury Yield,bad_news_dummy,0.004652404217492924,0.01096363127196609,0.6713114251118095,-0.016835918215337677,0.02614072665032352,0.0023431075763755693,138
d_five_year_yield,5-Year Treasury Yield,good_news_dummy,0.008552412759690046,0.01676949778124207,0.6100527614338791,-0.024315198930368754,0.04142002444974885,0.0023431075763755693,138
d_ten_year_yield,10-Year Treasury Yield,bad_news_dummy,0.0030238662447247926,0.00977648276696693,0.7570933212522335,-0.016137687874006885,0.02218542036345647,0.0019001629272884513,138
d_ten_year_yield,10-Year Treasury Yield,good_news_dummy,0.008295195443289624,0.016377894429524642,0.6125146066528446,-0.02380488778117785,0.0403952786677571,0.0019001629272884513,138
r_sp500,S&P 500,bad_news_dummy,0.02736481639617396,0.17993773353428194,0.8791243386151442,-0.3253066607907838,0.3800362935831317,0.0038566160453744613,138
r_sp500,S&P 500,good_news_dummy,0.2848035680197022,0.3424732511015316,0.40563012528997133,-0.3864316698076421,0.9560388058470465,0.0038566160453744613,138
r_global_equity,Global Equity,bad_news_dummy,0.013892031141748912,0.21133142997074406,0.9475882054498425,-0.400309960402258,0.42809402268575586,0.004943577607551264,138
r_global_equity,Global Equity,good_news_dummy,0.3742408791840923,0.3271658179361557,0.2526703088037805,-0.2669923409433612,1.0154740993115459,0.004943577607551264,138
r_investment_grade_bonds,Investment-Grade Bonds,bad_news_dummy,-0.015858302658706205,0.08750777263020684,0.8561936042625752,-0.18737038538123152,0.15565378006381908,0.00027581886160610303,138
r_investment_grade_bonds,Investment-Grade Bonds,good_news_dummy,-0.004709988848621619,0.1699845368049395,0.9778947742086963,-0.3378735589150263,0.32845358121778306,0.00027581886160610303,138
r_high_yield_bonds,High-Yield Bonds,bad_news_dummy,0.01626911773653165,0.0588479550954103,0.7821946206959319,-0.09907075481430289,0.1316089902873662,0.0018453165917444725,138
r_high_yield_bonds,High-Yield Bonds,good_news_dummy,0.05710250683248207,0.16371092544787116,0.7272388395363278,-0.26376501092106724,0.3779700245860314,0.0018453165917444725,138
r_inflation_linked_bonds,Inflation-Linked Bonds,bad_news_dummy,0.0031739638427702166,0.0453991339412705,0.944263358419256,-0.08580670361142992,0.09215463129697035,0.002457984822875514,138
r_inflation_linked_bonds,Inflation-Linked Bonds,good_news_dummy,0.061780752536163164,0.1456422222804257,0.6714233563527313,-0.22367275776184825,0.3472342628341746,0.002457984822875514,138
r_brent_oil,Brent Oil,bad_news_dummy,-0.12869732893384847,0.9632427756114764,0.8937122391518838,-2.016618477500739,1.759223819633042,0.0007502595920851896,138
r_brent_oil,Brent Oil,good_news_dummy,0.545603376496216,1.4153414578713126,0.6998726355904143,-2.228414906757971,3.3196216597504034,0.0007502595920851896,138
r_gold,Gold,bad_news_dummy,-0.01941188885322051,0.44082799509211584,0.9648764541584733,-0.8834188826107673,0.8445951049043262,0.01709568380665516,138
r_gold,Gold,good_news_dummy,-1.1765184145008691,0.5662733484364205,0.03774151100705722,-2.286393782841154,-0.06664304616058403,0.01709568380665516,138
r_dollar_index,U.S. Dollar Index,bad_news_dummy,-0.055422593313228075,0.0828297504771958,0.5034223930380342,-0.2177659210969712,0.10692073447051506,0.005766921123299351,138
r_dollar_index,U.S. Dollar Index,good_news_dummy,0.05581940171581994,0.2075366674682175,0.7879592047866708,-0.35094499199335183,0.46258379542499173,0.005766921123299351,138
r_vix,VIX,bad_news_dummy,-0.9568987376966089,1.506218830520704,0.5252336763924936,-3.9090333983532286,1.9952359229600107,0.005471510757821041,142
r_vix,VIX,good_news_dummy,-2.2284214229242894,2.5995751013235044,0.3913204089707202,-7.32349499662542,2.866652150776841,0.005471510757821041,142
r_ig_credit_proxy,IG Credit Excess-Return Proxy,bad_news_dummy,-0.019032266501476464,0.06006793667731839,0.7513606976620004,-0.13676325901465308,0.09869872601170014,0.002941385032392163,138
r_ig_credit_proxy,IG Credit Excess-Return Proxy,good_news_dummy,-0.06649074138478475,0.11237920053543789,0.5540755240245199,-0.2867499270456474,0.15376844427607786,0.002941385032392163,138
r_hy_credit_proxy,HY Credit Excess-Return Proxy,bad_news_dummy,0.013095153893761466,0.04551397901178305,0.7735632347223542,-0.07611060576244523,0.10230091354996816,0.0005437173283647789,138
r_hy_credit_proxy,HY Credit Excess-Return Proxy,good_news_dummy,-0.004678245703680948,0.14628751888082098,0.9744881593366749,-0.29139651409781325,0.2820400226904513,0.0005437173283647789,138
